Freq.	V(n009)
1.00000000000000e-01	(-5.28285634270045e+02dB,2.50922307426331e-01°)
1.00230523807790e-01	(-5.28205633772652e+02dB,2.50176052438639e-01°)
1.00461579027840e-01	(-5.28125633275691e+02dB,2.49431123549188e-01°)
1.00693166885180e-01	(-5.28045632781552e+02dB,2.48687517047993e-01°)
1.00925288607668e-01	(-5.27965632290950e+02dB,2.47945228916290e-01°)
1.01157945425990e-01	(-5.27885631795325e+02dB,2.47204255305130e-01°)
1.01391138573668e-01	(-5.27805631310472e+02dB,2.46464592383636e-01°)
1.01624869287070e-01	(-5.27725630822633e+02dB,2.45726235837549e-01°)
1.01859138805412e-01	(-5.27645630344883e+02dB,2.44989182459264e-01°)
1.02093948370768e-01	(-5.27565629862492e+02dB,2.44253427524090e-01°)
1.02329299228075e-01	(-5.27485629388242e+02dB,2.43518967767371e-01°)
1.02565192625141e-01	(-5.27405628911866e+02dB,2.42785798807510e-01°)
1.02801629812647e-01	(-5.27325628435630e+02dB,2.42053917047429e-01°)
1.03038612044162e-01	(-5.27245627965155e+02dB,2.41323318609415e-01°)
1.03276140576140e-01	(-5.27165627497695e+02dB,2.40593999341973e-01°)
1.03514216667934e-01	(-5.27085627029089e+02dB,2.39865955640095e-01°)
1.03752841581801e-01	(-5.27005626563324e+02dB,2.39139183765522e-01°)
1.03992016582906e-01	(-5.26925626097982e+02dB,2.38413679463535e-01°)
1.04231742939330e-01	(-5.26845625639705e+02dB,2.37689439236366e-01°)
1.04472021922080e-01	(-5.26765625184080e+02dB,2.36966459398027e-01°)
1.04712854805090e-01	(-5.26685624725310e+02dB,2.36244735305148e-01°)
1.04954242865232e-01	(-5.26605624268218e+02dB,2.35524264072766e-01°)
1.05196187382322e-01	(-5.26525623817059e+02dB,2.34805041228597e-01°)
1.05438689639126e-01	(-5.26445623367741e+02dB,2.34087063311243e-01°)
1.05681750921366e-01	(-5.26365622925353e+02dB,2.33370326653537e-01°)
1.05925372517729e-01	(-5.26285622476916e+02dB,2.32654826884713e-01°)
1.06169555719872e-01	(-5.26205622036211e+02dB,2.31940560638342e-01°)
1.06414301822431e-01	(-5.26125621592014e+02dB,2.31227524084933e-01°)
1.06659612123026e-01	(-5.26045621147113e+02dB,2.30515713079058e-01°)
1.06905487922266e-01	(-5.25965620712955e+02dB,2.29805124612528e-01°)
1.07151930523760e-01	(-5.25885620281031e+02dB,2.29095754332940e-01°)
1.07398941234124e-01	(-5.25805619842493e+02dB,2.28387598511485e-01°)
1.07646521362983e-01	(-5.25725619414431e+02dB,2.27680653449518e-01°)
1.07894672222983e-01	(-5.25645618983254e+02dB,2.26974915661890e-01°)
1.08143395129794e-01	(-5.25565618557102e+02dB,2.26270381067357e-01°)
1.08392691402120e-01	(-5.25485618130407e+02dB,2.25567046049004e-01°)
1.08642562361706e-01	(-5.25405617704930e+02dB,2.24864906757857e-01°)
1.08893009333343e-01	(-5.25325617285061e+02dB,2.24163959771165e-01°)
1.09144033644875e-01	(-5.25245616863683e+02dB,2.23464201088892e-01°)
1.09395636627209e-01	(-5.25165616449754e+02dB,2.22765627234922e-01°)
1.09647819614318e-01	(-5.25085616037118e+02dB,2.22068234513850e-01°)
1.09900583943252e-01	(-5.25005615619940e+02dB,2.21372018736654e-01°)
1.10153930954141e-01	(-5.24925615209663e+02dB,2.20676976946265e-01°)
1.10407861990207e-01	(-5.24845614799966e+02dB,2.19983104696825e-01°)
1.10662378397766e-01	(-5.24765614395729e+02dB,2.19290398977240e-01°)
1.10917481526240e-01	(-5.24685613983469e+02dB,2.18598855711486e-01°)
1.11173172728159e-01	(-5.24605613580156e+02dB,2.17908471313150e-01°)
1.11429453359173e-01	(-5.24525613178702e+02dB,2.17219242364794e-01°)
1.11686324778056e-01	(-5.24445612776210e+02dB,2.16531164872875e-01°)
1.11943788346715e-01	(-5.24365612383145e+02dB,2.15844235434773e-01°)
1.12201845430196e-01	(-5.24285611986283e+02dB,2.15158450308653e-01°)
1.12460497396692e-01	(-5.24205611591332e+02dB,2.14473805745654e-01°)
1.12719745617551e-01	(-5.24125611201266e+02dB,2.13790298411515e-01°)
1.12979591467279e-01	(-5.24045610806431e+02dB,2.13107924090732e-01°)
1.13240036323555e-01	(-5.23965610421342e+02dB,2.12426679973433e-01°)
1.13501081567231e-01	(-5.23885610030110e+02dB,2.11746561944069e-01°)
1.13762728582343e-01	(-5.23805609650171e+02dB,2.11067566596389e-01°)
1.14024978756117e-01	(-5.23725609266035e+02dB,2.10389690151055e-01°)
1.14287833478977e-01	(-5.23645608883920e+02dB,2.09712929095276e-01°)
1.14551294144553e-01	(-5.23565608503282e+02dB,2.09037279763928e-01°)
1.14815362149688e-01	(-5.23485608131572e+02dB,2.08362738802834e-01°)
1.15080038894443e-01	(-5.23405607752999e+02dB,2.07689302518609e-01°)
1.15345325782109e-01	(-5.23325607376880e+02dB,2.07016967031468e-01°)
1.15611224219209e-01	(-5.23245607002333e+02dB,2.06345729208323e-01°)
1.15877735615512e-01	(-5.23165606636523e+02dB,2.05675585480949e-01°)
