Freq.	V(n007)/V(n010)	V(n002)/V(n010)	V(n004)/V(n002)	V(n004)/V(n010)	V(n004)	V(p002)
1.00000000000000e+03	(-2.59185840891592e-04dB,-1.70536813558257e-02°)	(-4.18296940992871e+01dB,-7.36833463552517e+01°)	(-4.32572559305443e+01dB,-7.17452036185027e+01°)	(-8.50869500298314e+01dB,-1.45428549973754e+02°)	(-1.25086950029831e+02dB,-1.45428549973754e+02°)	(-8.22839245118597e+01dB,-5.53222259813671e+01°)
1.02329299228075e+03	(-2.59122757022903e-04dB,-1.74523319277300e-02°)	(-4.16138199726986e+01dB,-7.40418189713027e+01°)	(-4.30376968397168e+01dB,-7.21384800489448e+01°)	(-8.46515168124154e+01dB,-1.46180299020248e+02°)	(-1.24651516812415e+02dB,-1.46180299020248e+02°)	(-8.20486111168421e+01dB,-5.60714973285607e+01°)
1.04712854805090e+03	(-2.59062003066321e-04dB,-1.78602458123932e-02°)	(-4.13985932358640e+01dB,-7.43935203956737e+01°)	(-4.28189254320085e+01dB,-7.25245968164745e+01°)	(-8.42175186678725e+01dB,-1.46918117212148e+02°)	(-1.24217518667873e+02dB,-1.46918117212148e+02°)	(-8.18147384435111e+01dB,-5.68067800297582e+01°)
1.07151930523761e+03	(-2.59003503167467e-04dB,-1.82776387276095e-02°)	(-4.11839884586309e+01dB,-7.47385341680362e+01°)	(-4.26009122713619e+01dB,-7.29036210711243e+01°)	(-8.37849007299928e+01dB,-1.47642155239161e+02°)	(-1.23784900729993e+02dB,-1.47642155239161e+02°)	(-8.15822518920470e+01dB,-5.75282234229200e+01°)
1.09647819614318e+03	(-2.58947182265630e-04dB,-1.87047314452232e-02°)	(-4.09699809824364e+01dB,-7.50769461694882e+01°)	(-4.23836287226237e+01dB,-7.32756237547558e+01°)	(-8.33536097050601e+01dB,-1.48352569924244e+02°)	(-1.23353609705060e+02dB,-1.48352569924244e+02°)	(-8.13510984476945e+01dB,-5.82359829473737e+01°)
1.12201845430196e+03	(-2.58892966187308e-04dB,-1.91417499071504e-02°)	(-4.07565469094877e+01dB,-7.54088443705992e+01°)	(-4.21670469496036e+01dB,-7.36406792878678e+01°)	(-8.29235938590913e+01dB,-1.49049523658467e+02°)	(-1.22923593859091e+02dB,-1.49049523658467e+02°)	(-8.11212266685967e+01dB,-5.89302195778965e+01°)
1.14815362149688e+03	(-2.58840781770614e-04dB,-1.95889253441391e-02°)	(-4.05436630906743e+01dB,-7.57343185916476e+01°)	(-4.19511399110150e+01dB,-7.39988652681870e+01°)	(-8.24948030016893e+01dB,-1.49733183859835e+02°)	(-1.22494803001689e+02dB,-1.49733183859835e+02°)	(-8.08925866702695e+01dB,-5.96110992827515e+01°)
1.17489755493953e+03	(-2.58790556921207e-04dB,-2.00464943973281e-02°)	(-4.03313071123550e+01dB,-7.60534602749293e+01°)	(-4.17358813544820e+01dB,-7.43502621812813e+01°)	(-8.20671884668370e+01dB,-1.50403722456211e+02°)	(-1.22067188466837e+02dB,-1.50403722456211e+02°)	(-8.06651301070476e+01dB,-6.02787925057973e+01°)
1.20226443461741e+03	(-2.58742220717406e-04dB,-2.05146992426923e-02°)	(-4.01194572821528e+01dB,-7.63663622689719e+01°)	(-4.15212458087899e+01dB,-7.46949531233481e+01°)	(-8.16407030909427e+01dB,-1.51061315392320e+02°)	(-1.21640703090943e+02dB,-1.51061315392320e+02°)	(-8.04388101508130e+01dB,-6.09334736726568e+01°)
1.23026877081238e+03	(-2.58695703478658e-04dB,-2.09937877184206e-02°)	(-3.99080926138873e+01dB,-7.66731186244396e+01°)	(-4.13072085745456e+01dB,-7.50330235362536e+01°)	(-8.12153011884329e+01dB,-1.51706142160693e+02°)	(-1.21215301188433e+02dB,-1.51706142160693e+02°)	(-8.02135814673018e+01dB,-6.15753207208061e+01°)
1.25892541179417e+03	(-2.58650936796399e-04dB,-2.14840134553194e-02°)	(-3.96971928117595e+01dB,-7.69738244014848e+01°)	(-4.10937457134098e+01dB,-7.53645609548226e+01°)	(-8.07909385251693e+01dB,-1.52338385356307e+02°)	(-1.20790938525169e+02dB,-1.52338385356307e+02°)	(-7.99894001902705e+01dB,-6.22045146533378e+01°)
1.28824955169313e+03	(-2.58607853588058e-04dB,-2.19856360103021e-02°)	(-3.94867382538998e+01dB,-7.72685754882650e+01°)	(-4.08808340360531e+01dB,-7.56896547663216e+01°)	(-8.03675722899529e+01dB,-1.52958230254587e+02°)	(-1.20367572289953e+02dB,-1.52958230254587e+02°)	(-7.97662238937848e+01dB,-6.28212391160595e+01°)
1.31825673855641e+03	(-2.58566388152024e-04dB,-2.24989210030410e-02°)	(-3.92767099753817e+01dB,-7.75574684303218e+01°)	(-4.06684510889789e+01dB,-7.60083959820147e+01°)	(-7.99451610643606e+01dB,-1.53565864412337e+02°)	(-1.19945161064361e+02dB,-1.53565864412337e+02°)	(-7.95440115628771e+01dB,-6.34256799975026e+01°)
1.34896288259165e+03	(-2.58526476159931e-04dB,-2.30241402558534e-02°)	(-3.90670896507926e+01dB,-7.78406002704973e+01°)	(-4.04565751403495e+01dB,-7.63208770206274e+01°)	(-7.95236647911421e+01dB,-1.54161477291125e+02°)	(-1.19523664791142e+02dB,-1.54161477291125e+02°)	(-7.93227235628048e+01dB,-6.40180250513525e+01°)
1.38038426460288e+03	(-2.58488054689446e-04dB,-2.35615719369040e-02°)	(-3.88578595764497e+01dB,-7.81180683990438e+01°)	(-4.02451851649417e+01dB,-7.66271915035090e+01°)	(-7.91030447413914e+01dB,-1.54745259902553e+02°)	(-1.19103044741391e+02dB,-1.54745259902553e+02°)	(-7.91023216071225e+01dB,-6.45984635407442e+01°)
1.41253754462275e+03	(-2.58451062245486e-04dB,-2.41115007067983e-02°)	(-3.86490026523388e+01dB,-7.83899704135746e+01°)	(-4.00342608283490e+01dB,-7.69274340612462e+01°)	(-7.86832634806878e+01dB,-1.55317404474821e+02°)	(-1.18683263480688e+02dB,-1.55317404474821e+02°)	(-7.88827687247682e+01dB,-6.51671859038233e+01°)
1.44543977074593e+03	(-2.58415438742857e-04dB,-2.46742178686382e-02°)	(-3.84405023638471e+01dB,-7.86564039884894e+01°)	(-3.98237824705430e+01dB,-7.72217001514512e+01°)	(-7.82642848343902e+01dB,-1.55878104139941e+02°)	(-1.18264284834390e+02dB,-1.55878104139941e+02°)	(-7.86640292263461e+01dB,-6.57243834399298e+01°)
1.47910838816821e+03	(-2.58381125502401e-04dB,-2.52500215216422e-02°)	(-3.82323427633564e+01dB,-7.89174667535055e+01°)	(-3.96137310888930e+01dB,-7.75100858874214e+01°)	(-7.78460738522494e+01dB,-1.56427552640927e+02°)	(-1.17846073852249e+02dB,-1.56427552640927e+02°)	(-7.84460686697759e+01dB,-6.62702480157294e+01°)
1.51356124843621e+03	(-2.58348065281849e-04dB,-2.58392167183733e-02°)	(-3.80245084517530e+01dB,-7.91732561809226e+01°)	(-3.94040883207394e+01dB,-7.77926878773441e+01°)	(-7.74285967724924e+01dB,-1.56965944058267e+02°)	(-1.17428596772492e+02dB,-1.56965944058267e+02°)	(-7.82288538254619e+01dB,-6.68049717905951e+01°)
1.54881661891248e+03	(-2.58316202196748e-04dB,-2.64421156257094e-02°)	(-3.78169845599090e+01dB,-7.94238694812439e+01°)	(-3.91948364256073e+01dB,-7.80696030737069e+01°)	(-7.70118209855163e+01dB,-1.57493472554951e+02°)	(-1.17011820985516e+02dB,-1.57493472554951e+02°)	(-7.80123526411247e+01dB,-6.73287469605199e+01°)
1.58489319246111e+03	(-2.58285481756142e-04dB,-2.70590376895918e-02°)	(-3.76097567301804e+01dB,-7.96694035067853e+01°)	(-3.89859582671379e+01dB,-7.83409286325576e+01°)	(-7.65957149973183e+01dB,-1.58010332139343e+02°)	(-1.16595714997318e+02dB,-1.58010332139343e+02°)	(-7.77965342064224e+01dB,-6.78417655198357e+01°)
1.62181009735893e+03	(-2.58255850809528e-04dB,-2.76903098036753e-02°)	(-3.74028110979629e+01dB,-7.99099546629005e+01°)	(-3.87774372948109e+01dB,-7.86067617822507e+01°)	(-7.61802483927738e+01dB,-1.58516716445151e+02°)	(-1.16180248392774e+02dB,-1.58516716445151e+02°)	(-7.75813687174770e+01dB,-6.83442190400011e+01°)
1.65958690743756e+03	(-2.58227257525648e-04dB,-2.83362664819487e-02°)	(-3.71961342733436e+01dB,-8.01456188264594e+01°)	(-3.85692575255228e+01dB,-7.88671997013098e+01°)	(-7.57653917988663e+01dB,-1.59012818527769e+02°)	(-1.15765391798866e+02dB,-1.59012818527769e+02°)	(-7.73668274414117e+01dB,-6.88362984647267e+01°)
1.69824365246174e+03	(-2.58199651362585e-04dB,-2.89972500354279e-02°)	(-3.69897133228772e+01dB,-8.03764912712221e+01°)	(-3.83614035250787e+01dB,-7.91223394050331e+01°)	(-7.53511168479560e+01dB,-1.59498830676255e+02°)	(-1.15351116847956e+02dB,-1.59498830676255e+02°)	(-7.71528826809898e+01dB,-6.93181939207017e+01°)
1.73780082874937e+03	(-2.58172983029196e-04dB,-2.96736107530054e-02°)	(-3.67835357515173e+01dB,-8.06026665997601e+01°)	(-3.81538603896525e+01dB,-7.93722776404674e+01°)	(-7.49373961411697e+01dB,-1.59974944240228e+02°)	(-1.14937396141170e+02dB,-1.59974944240228e+02°)	(-7.69395077394401e+01dB,-6.97900945432006e+01°)
1.77827941003892e+03	(-2.58147204464856e-04dB,-3.03657070865619e-02°)	(-3.65775894847219e+01dB,-8.08242386815809e+01°)	(-3.79466137272594e+01dB,-7.96171107893775e+01°)	(-7.45242032119813e+01dB,-1.60441349470958e+02°)	(-1.14524203211981e+02dB,-1.60441349470958e+02°)	(-7.67266768855406e+01dB,-7.02521883158522e+01°)
1.81970085860998e+03	(-2.58122268778704e-04dB,-3.10739058404265e-02°)	(-3.63718628507556e+01dB,-8.10413005971283e+01°)	(-3.77396496392857e+01dB,-7.98569347788425e+01°)	(-7.41115124900413e+01dB,-1.60898235375971e+02°)	(-1.14111512490041e+02dB,-1.60898235375971e+02°)	(-7.65143653190246e+01dB,-7.07046619238699e+01°)
