freq,mag,phase,
"10,000000","0,001000","180,000000",0
"50,000000","0,224000","230,400000","0,0128"
"100,000000","0,448000","115,200000","0,0032"
"250,000000","1,220000","72,000000","0,0008"
"500,000000","1,680000","46,800000","0,00026"
"750,000000","2,200000","37,800000","0,00014"
"1000,000000","2,640000","21,600000","0,00006"
"2000,000000","4,400000","7,200000","0,00001"
"3000,000000","6,480000","8,640000","0,000008"
"4000,000000","8,000000","5,760000","0,000004"
"5000,000000","8,200000","3,600000","0,000002"
"6000,000000","8,400000","4,320000","0,000002"
"7000,000000","8,600000","3,024000","0,0000012"
"8000,000000","8,600000","0,000000",0
"9000,000000","8,600000","0,000000",0
"10000,000000","8,600000","0,000000",0
"20000,000000","8,600000","0,000000",0
"30000,000000","8,600000","0,000000",0
"40000,000000","8,600000","0,000000",0
"50000,000000","8,600000","0,000000",0
"60000,000000","8,600000","0,000000",0
"70000,000000","8,600000","0,000000",0
"80000,000000","8,600000","0,000000",0
"90000,000000","8,600000","0,000000",0
"100000,000000","8,600000","0,000000",0
"110000,000000","8,600000","0,000000",0
"120000,000000","8,600000","0,000000",0
"130000,000000","8,600000","0,000000",0
"140000,000000","8,600000","0,000000",0
"150000,000000","8,600000","0,000000",0
"160000,000000","8,600000","0,000000",0
"170000,000000","8,600000","0,000000",0
"180000,000000","8,600000","0,000000",0
"190000,000000","8,600000","0,000000",0
"200000,000000","8,600000","0,000000",0
