Freq.	V(n002)
1.00000000000000e+00	(-6.79879847744457e+01dB,1.78919873827804e+02°)
1.00230523807790e+00	(-6.79479903129748e+01dB,1.78917384274230e+02°)
1.00461579027839e+00	(-6.79079958770616e+01dB,1.78914888984374e+02°)
1.00693166885180e+00	(-6.78680014668243e+01dB,1.78912387945034e+02°)
1.00925288607668e+00	(-6.78280070823811e+01dB,1.78909881142974e+02°)
1.01157945425990e+00	(-6.77880127238512e+01dB,1.78907368564929e+02°)
1.01391138573668e+00	(-6.77480183913541e+01dB,1.78904850197603e+02°)
1.01624869287070e+00	(-6.77080240850098e+01dB,1.78902326027671e+02°)
1.01859138805412e+00	(-6.76680298049390e+01dB,1.78899796041774e+02°)
1.02093948370768e+00	(-6.76280355512630e+01dB,1.78897260226527e+02°)
1.02329299228075e+00	(-6.75880413241034e+01dB,1.78894718568510e+02°)
1.02565192625141e+00	(-6.75480471235826e+01dB,1.78892171054274e+02°)
1.02801629812647e+00	(-6.75080529498236e+01dB,1.78889617670341e+02°)
1.03038612044162e+00	(-6.74680588029497e+01dB,1.78887058403199e+02°)
1.03276140576140e+00	(-6.74280646830849e+01dB,1.78884493239306e+02°)
1.03514216667934e+00	(-6.73880705903540e+01dB,1.78881922165090e+02°)
1.03752841581801e+00	(-6.73480765248820e+01dB,1.78879345166946e+02°)
1.03992016582906e+00	(-6.73080824867947e+01dB,1.78876762231239e+02°)
1.04231742939330e+00	(-6.72680884762185e+01dB,1.78874173344304e+02°)
1.04472021922080e+00	(-6.72280944932802e+01dB,1.78871578492441e+02°)
1.04712854805090e+00	(-6.71881005381073e+01dB,1.78868977661922e+02°)
1.04954242865232e+00	(-6.71481066108280e+01dB,1.78866370838987e+02°)
1.05196187382322e+00	(-6.71081127115709e+01dB,1.78863758009841e+02°)
1.05438689639126e+00	(-6.70681188404652e+01dB,1.78861139160663e+02°)
1.05681750921366e+00	(-6.70281249976409e+01dB,1.78858514277595e+02°)
1.05925372517729e+00	(-6.69881311832284e+01dB,1.78855883346750e+02°)
1.06169555719872e+00	(-6.69481373973587e+01dB,1.78853246354210e+02°)
1.06414301822431e+00	(-6.69081436401636e+01dB,1.78850603286022e+02°)
1.06659612123026e+00	(-6.68681499117753e+01dB,1.78847954128203e+02°)
1.06905487922266e+00	(-6.68281562123267e+01dB,1.78845298866739e+02°)
1.07151930523761e+00	(-6.67881625419513e+01dB,1.78842637487581e+02°)
1.07398941234124e+00	(-6.67481689007832e+01dB,1.78839969976650e+02°)
1.07646521362983e+00	(-6.67081752889572e+01dB,1.78837296319833e+02°)
1.07894672222983e+00	(-6.66681817066085e+01dB,1.78834616502987e+02°)
1.08143395129794e+00	(-6.66281881538732e+01dB,1.78831930511934e+02°)
1.08392691402120e+00	(-6.65881946308879e+01dB,1.78829238332465e+02°)
1.08642562361706e+00	(-6.65482011377898e+01dB,1.78826539950338e+02°)
1.08893009333343e+00	(-6.65082076747168e+01dB,1.78823835351278e+02°)
1.09144033644876e+00	(-6.64682142418074e+01dB,1.78821124520978e+02°)
1.09395636627209e+00	(-6.64282208392007e+01dB,1.78818407445098e+02°)
1.09647819614318e+00	(-6.63882274670365e+01dB,1.78815684109265e+02°)
1.09900583943252e+00	(-6.63482341254552e+01dB,1.78812954499072e+02°)
1.10153930954141e+00	(-6.63082408145979e+01dB,1.78810218600080e+02°)
1.10407861990207e+00	(-6.62682475346064e+01dB,1.78807476397818e+02°)
1.10662378397766e+00	(-6.62282542856229e+01dB,1.78804727877779e+02°)
1.10917481526240e+00	(-6.61882610677906e+01dB,1.78801973025426e+02°)
1.11173172728159e+00	(-6.61482678812532e+01dB,1.78799211826186e+02°)
1.11429453359173e+00	(-6.61082747261549e+01dB,1.78796444265453e+02°)
1.11686324778056e+00	(-6.60682816026409e+01dB,1.78793670328589e+02°)
1.11943788346715e+00	(-6.60282885108567e+01dB,1.78790890000922e+02°)
